Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Antigua and Barbuda;ATG;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;77496753.70;87879341.48;109079978.89;131431026.67;147841734.44;164369278.89;182144092.96;208372846.30;240923924.81;290440140.74;337174861.85;398637727.78;438794788.52;459470370.37;481707407.41;499281481.48;535174074.07;589429629.63;577281481.48;633729629.63;680618518.52;727859259.26;766200000.00;826370370.37;800481481.48;814381481.48;856396296.30;919729629.63;1022962962.96;1157662962.96;1312759259.26;1370070370.37;1228329629.63;1148700000.00;1137637037.04;1199948148.15;1181448148.15;1249733333.33;1336692592.59;1436585185.19;1467977777.78;1605351851.85;1661962962.96
Australia;AUS;GDP (current US$);NY.GDP.MKTP.CD;18577668271.92;19652816664.80;19892485160.71;21507447642.51;23764139321.31;25936835031.92;27268451114.35;30397580916.12;32665472057.34;36628961809.83;41271138985.33;45149512823.38;51967289719.63;63737347853.94;88831245394.25;97171924074.83;104921215177.11;110201881165.41;118338596886.98;134712029989.78;149776044568.25;176642284918.15;193770274743.46;177030416471.69;193242166274.23;180235483623.53;182036933407.95;189061672842.77;235658469150.18;299272046250.31;310781069642.17;325315909269.29;324884257479.04;311549325463.74;322213766862.68;367216364716.37;400302731411.23;434568007512.91;398899138574.24;388608221581.65;415222633925.77;378376086723.19;394648911678.53;466488060570.76;612490396927.02;693407758231.85;746054207846.66;853099630996.31;1053995523724.26;927805183330.88;1146138465603.81;1396649906339.35;1546151783872.96;1576184467015.49;1467483705131.74;1351693984524.50;1208846993739.99;1329188475752.32;1432881172002.17;1396567014733.23
Austria;AUT;GDP (current US$);NY.GDP.MKTP.CD;6592693841.18;7311749633.36;7756110210.12;8374175257.73;9169983885.71;9994070615.86;10887682273.10;11579431668.92;12440625312.87;13582798556.24;15373005557.03;17858486066.75;22059612476.93;29515467706.80;35189299911.66;40059206763.06;42959976221.52;51545758887.69;62052259073.25;73937296963.46;82058912997.23;71034228443.06;71275287569.57;72121016546.65;67985344886.87;69386774408.09;99036164939.16;124168442533.74;133339397080.13;133105805512.22;166463386179.35;173794177961.11;195078126721.76;190379720809.18;203535242741.84;241038283062.65;237250948791.27;212790348404.56;218259904401.96;217185787342.85;196799778883.36;197337879194.63;213377771503.86;261695778781.04;300904221504.84;315974418604.65;335998557270.10;388691445387.35;430294287388.31;400172297860.52;391892746544.69;431120310088.82;409425234155.26;430068712971.87;441996131736.51;381817565893.57;395568644341.04;417237869115.93;455094861902.06;445075391688.16
Azerbaijan;AZE;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8858006035.92;8792365810.51;4991350457.54;3970953395.52;3313939553.54;3052467522.36;3176703092.30;3962735257.21;4446370371.15;4581246713.32;5272617196.05;5707720390.85;6235856819.58;7276013031.97;8680370408.06;13245716099.01;20982986344.30;33050343782.78;48852482960.08;44291490420.50;52902703376.11;65951627200.20;69683935845.21;74164435946.46;75244294275.15;53074370486.04;37867518957.20;40865558912.39;47112941176.47;48047647058.82
Burundi;BDI;GDP (current US$);NY.GDP.MKTP.CD;195999990.00;202999992.00;213500006.00;232749998.00;260750008.00;158994962.96;165444571.43;178297142.86;183200000.00;190205714.29;242732571.43;252842285.71;246804571.43;304339839.55;345263492.06;420986666.67;448412753.62;547535555.56;610225555.56;782496666.67;919726666.67;969046666.67;1013222222.22;1082926304.46;987143931.17;1149979285.77;1201725497.07;1131466494.01;1082403219.49;1113924130.41;1132101252.52;1167398478.35;1083037670.60;938632612.03;925030590.15;1000428393.89;869033856.32;972896267.92;893770806.08;808077223.37;870486065.88;876794723.07;825394490.16;784654423.62;915257323.40;1117113045.65;1273375020.27;1356199364.86;1611835901.91;1781455092.07;2032135246.50;2235820867.83;2333308099.46;2451625332.75;2705783272.07;3104394858.12;2959640987.30;3172292379.36;3036931818.18;3012334881.64
Belgium;BEL;GDP (current US$);NY.GDP.MKTP.CD;11658722590.99;12400145221.60;13264015675.32;14260017387.05;15960106680.67;17371457607.94;18651883472.48;19992040788.46;21376353113.48;23710735894.70;26706196046.79;29821661869.91;37209418018.51;47743801490.37;56033077879.04;65678189097.29;71113882967.61;82839905458.64;101246526194.44;116315456796.92;126829314388.19;104730018470.23;92095926187.53;87184239053.25;83349530159.17;86268264148.38;120018787249.41;149394404105.89;162299103675.26;164221056511.06;205331747947.85;210510999409.33;234781652446.68;224721795708.96;244884129491.20;288025588396.28;279201433224.76;252708051420.84;258528339631.03;258158533986.79;236204532891.10;236541297539.15;257157820440.43;317381715575.62;368537000248.32;385570948886.95;407918078032.87;470324254037.78;515223524241.98;481345929424.84;480951629493.03;522645519183.59;496181260258.30;521642714407.84;534678075827.36;462149679343.82;475739588764.76;502698069366.94;543734366831.22;533097455834.51
Benin;BEN;GDP (current US$);NY.GDP.MKTP.CD;226195579.36;235668222.43;236434906.75;253927646.48;269818988.26;289908720.65;302925280.77;306222000.41;326323097.36;330748211.46;333627758.15;335072975.22;410331900.95;504376035.72;554654786.97;676870140.34;698408244.39;750049739.15;928843304.78;1186231265.18;1405251547.24;1291119965.11;1267778489.03;1095348302.92;1051133927.00;1045712703.03;1336102040.71;1562412030.35;1620246187.15;1502294411.46;1959965243.76;1986437859.90;1695315305.70;2274557914.07;1598075932.35;2169627250.93;2361116587.86;2268301537.65;2455092582.31;3676045652.82;3511248899.72;3663017699.62;4174634520.35;5337266687.58;6179176459.36;6565043459.50;7027863025.14;8158257571.77;9748276762.24;9699586794.45;9535344283.47;10693321953.64;11141358945.13;12517845732.21;13284528654.06;11388160958.25;11821066152.60;12701656930.69;14250985958.67;14390709094.94
Burkina Faso;BFA;GDP (current US$);NY.GDP.MKTP.CD;330442817.17;350247237.12;379567178.26;394040749.13;410321785.63;422916848.42;433889831.58;450753993.18;460442864.21;478298781.55;458404330.13;482411278.98;578595583.98;674773821.15;751133642.65;939972703.46;976547572.22;1131225278.78;1475584037.28;1748480982.19;1928720390.29;1775842679.94;1754450379.21;1600278756.44;1459880352.65;1552493413.99;2036303381.20;2369835438.62;2616040645.87;2615588545.69;3101301780.95;3135045684.10;2240264711.55;2332018010.55;1895290964.81;2379518099.23;2586550747.10;2447669403.89;2804902723.73;3364819316.61;2956746304.21;3190371050.46;3622350203.95;4740768355.23;5451688868.43;6146352742.03;6547420133.70;7625723123.55;9451436358.97;9450697335.54;10109618964.28;12080296644.06;12561016091.47;13444301139.14;13943016923.90;11832159275.60;12833363370.17;14106956830.09;16059910870.62;15990803570.00
Bangladesh;BGD;GDP (current US$);NY.GDP.MKTP.CD;4274893913.50;4817580183.60;5081413339.79;5319458351.16;5386054619.35;5906636557.00;6439687598.32;7253575399.32;7483685473.51;8471006100.95;8992721809.39;8751842839.80;6288245866.67;8086725729.34;12512460519.71;19448348073.46;10117113333.33;9651149301.87;13281767142.86;15565480321.94;18138049095.61;20249694002.45;18525399201.60;17609048821.55;18920840000.00;22278423076.92;21774033333.33;24298032258.06;26579005760.35;28781714763.80;31598341233.56;30957483949.58;31708874594.16;33166519417.99;33768660882.79;37939748768.66;46438484107.58;48244309133.49;49984559471.37;51270569883.53;53369787318.62;53991289844.33;54724081490.51;60158929188.26;65108544250.04;69442943089.43;71819083683.74;79611888213.15;91631278239.32;102477791472.39;115279077465.23;128637938711.39;133355749482.48;149990451022.29;172885454931.45;195078678697.23;221415188000.48;249711027660.25;274039092455.31;302571254131.14
Bulgaria;BGR;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;19839230769.23;19870000000.00;19342000000.00;16563666666.67;17594944444.44;17155421052.63;20249294117.65;28101000000.00;22555941176.47;21988444444.44;20632090909.09;10943548387.10;10350515463.92;10829710144.93;9697416974.17;18983303571.43;12294221472.74;11315986087.16;15030695296.52;13627323284.54;13245833843.55;14183497963.11;16402846413.10;21144983551.68;26157894736.84;29869283400.04;34379808888.60;44405101469.56;54438966419.86;52023504656.29;50381825504.26;57386216850.34;54033250328.52;55615397665.58;56901994980.33;50647442756.74;53806894796.38;58971520599.25;66230155099.58;68558815111.62
