Country;Product;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Chile;Total;8524;8934;8766;9297;8732;9277;9776;10360;11134;11751;11978;11871;12624;13497;14040;14744;15637;16915;17811;18372;19961;22363;24003;25277;28027;30733;33297;35509;38390;40078;42531;43671;46829;51208;52484;55320;58509;59704;60722;60434;65713;69751;73065;70753;75387;79308;79416.65;82312.705;81195.778
Czech Republic;Fossil fuels;35164;38315;40093;41321;44094;46783;49227;51835;48956;50257;51516;52977;54796;55487;54053;52581;49030;50419;51070;48525;47077;45405;44497;43631;45938;48712;49530;49463;48444;57031;56903;54252;55058;54716;54063;54080;58172;53001;49760;51300;51094;48159;45815;45442;46195;48443;47724.083;47429.138;45343.814
Czech Republic;Nuclear;0;0;0;0;0;0;0;0;0;0;0;0;200;1239;2397;6149;10701;11816;12418;12585;12132;12250;12627;12977;12230;12850;12494;13178;13357;13590;14749;18738;25872;26325;24728;26046;26172;26551;27208;27998;28283;30324;30745;30325;26841;24104;28339.6;29921.311;30246.209
Czech Republic;Renewable sources;1208;1264;1081;1819;1814;1446;1967;1830;2293;2399;2061;1670;1655;1298;1671;1876;2465;2099;1643;1161;1089;1402;1530;1781;2407;2261;2193;1983;2358;2284;2577;2998;1879;2741;3132;3520;3410;3731;4654;5902;7248;8065;9309;9172;9422;9384;9620.849;9425.319;10024.583
Czech Republic;Total;36372;39579;41174;43140;45908;48229;51194;53665;51249;52656;53577;54647;56651;58024;58121;60606;62196;64334;65131;62271;60298;59057;58654;58389;60575;63823;64217;64624;64159;72911;74234;75995;82816;83790;81931;83654;87764;83295;81632;85312;86776;86687;86008;85096;82616;82107;85879.808;86981.434;85822.027
Denmark;Fossil fuels;18600;20550;19096;18279;18240;20485;22042;20392;22080;26724;19719;23676;22085;22576;29027;30577;29225;27663;22351;25134;35424;29272;32182;38603;34616;51128;40963;36758;34021;29886;31276;31862;37420;30252;25618;35586;28216;25665;25528;25686;20270;15134;18060;13475.755;9251.922;11444.051;8505.754;8907.179;5335.267
Denmark;Nuclear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Denmark;Renewable sources;24;24;24;24;24;24;22;26;31;41;44;50;94;96;117;206;264;405;577;825;1057;1352;1607;1743;1852;2079;2929;3925;4379;5572;5846;6789;8078;9519;9812;9201;10305;10096;10064;12429.114;14180.801;14836.813;15967.036;17984.075;18937.051;18390.025;21813.007;20765.709;23168.91
Denmark;Total;18624;20574;19120;18303;18264;20509;22064;20418;22111;26765;19763;23726;22179;22672;29144;30783;29489;28070;22933;25982;36545;30738;33974;40578;36759;53582;44315;41113;38920;36053;37729;39287;46186;40430;36246;45611;39316;36616;36384;38862.032;35229.069;30700.702;34742.088;32184.012;28940.632;30538.406;31041.724;30376.585;29278.208
Estonia;Fossil fuels;;;;;;;;;;;;;;;;;;;;17181;14627;11830;9116;9149;8685;9096;9207;8505;8252;8495;8465;8497;10110;10244;10094;9602;12045;10384;8238;11920;11714;10490;11995;10984;8768;10533;10975.299;10274;5418
Estonia;Nuclear;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Estonia;Renewable sources;;;;;;;;;;;;;;;;;;;;0;0;1;1;3;8;7;11;16;16;18;18;30;49;60;111;130;145;197;541;1044;1179;1477;1220;1389;1502;1524;1801.193;1988.802;2109.724
Estonia;Total;;;;;;;;;;;;;;;;;;;;17181;14627;11831;9117;9152;8693;9103;9218;8521;8268;8513;8483;8527;10159;10304;10205;9732;12190;10581;8779;12964;12893;11967;13275;12446;10398;12186;12917.492;12359.802;7615.724
Finland;Fossil fuels;11054;12982;15587;15000;14019;19820;18318;22726;21631;23509;12591;11311;10898;13174;18324;17818;19961;20963;21698;19146;20278;18405;21712;27944;25274;31882;27841;23547;24957;23855;29869;32467;42102;37039;23419;36555;33080;26095;26326;33157;25609;18309;21393;17575;14194;14447;12698;14528;12300
Finland;Nuclear;0;0;0;0;0;0;2660;3264;6742;7022;14665;16776;17720;18867;19059;19059;19646;19554;19090;19216;19511;19260;19928;19427;19216;19476;20894;21853;22974;22479;22773;22295;22731;22716;23271;22906;23423;22958;23526;22800;23187;22987;23606;23580;23245;23203;22477;22793;23882
Finland;Renewable sources;10627;10323;10515;12631;12152;9435;12120;9742;10870;10216;13653;13088;13579;13246;12333;12389;13795;13361;13029;16015;18197;20060;19439;18260;19545;17761;20151;24408;21193;23379;21547;19830;19065;25631;23468;22466;24323;27781;21699;24195;24175;28560;25629;26271;30527;30412;31475.872;32139.494;31723
Finland;Total;21681;23305;26102;27631;26171;29255;33098;35732;39243;40747;40909;41175;42197;45287;49716;49266;53402;53878;53817;54377;57986;57725;61079;65631;64035;69373;69176;70167;69457;69976;74486;74955;84326;85845;70582;82312;81245;77432;72069;80674;73501;70411;71257;68094;68599;68757;67524.168;70262.747;68715
France;Fossil fuels;96951;106963;119278;115151;106242;140933;115535;126639;133398;125823;97360;98198;80867;64874;55680;43029;39498;37266;51429;47118;60342;50236;34336;33385;38145;42878;38490;53938;50765;49539;45005;51127;55730;54812;61699;55297;56347;53661.112;49234.197;55594.113;57225.169;54162.436;51114.71;33405.12;42352.597;54187.565;62682.566;47234.355;51164.512
France;Nuclear;9336;14592;14741;14695;18248;15778;17986;30483;39960;61251;105326;108919;144261;191234;224100;254155;265520;275521;303931;314081;331340;338445;368188;359981;377231;397340;395483;387990;394244;415162;421076;436760;441070;448241;451529;450191;439730;439447;409736;428521;442387.763;425406.017;423684.671;436479.009;437427.808;403195.482;398359.129;412941.812;399011.587
France;Renewable sources;49562;49646;48489;57001;60804;49146;76929;69023;67111;70234;72944;71351;70231;66545;62774;63389;71424;77445;47989;55779.327;59703.705;71090.078;66871.211;80956.224;75453.821;68474.734;66451.925;64767.477;75406.29;69402.472;77738.588;64205.716;63056.407;63940.383;56324.378;62338.8;65907.989;73825.353;69658.171;78195.617;66025.908;85208.446;99283.493;93961.148;91831.695;99012.86;92616.503;113397.461;112843.579
France;Total;155849;171201;182508;186847;185294;205857;210450;226145;240469;257308;275630;278468;295359;322653;342554;360573;376442;390232;403534;417200.327;451612.705;460011.078;469654.211;474592.224;491200.821;509159.734;500974.925;507266.477;521237.29;535184.472;545286.588;553629.716;561503.407;568710.383;571209.378;569431.8;564112.989;569092.465;530953.368;564475.73;568351.721;567726.995;577017.758;566720.931;574581.986;559337.634;556796.356;576637.227;566215.599
Germany;Fossil fuels;304810;320343;344101;355488;339469;374509;363778;382100;393141;386245;377310;368972;375785;375899;360002;368345;364406;365687;372644;372498;367767;350963;344460;345913;348528;358647;349005;359151;349085;361442;364835;365426;388668;383139;383711;386133;397891;385401;352440;372550;366773;371343;374945;352838;352936;361336;346079;327585;285039
Germany;Nuclear;6216;9522;12106;14459;24138;29533;41255;43873;52064;55589;65533;74426;78063;104317;138641;130489;141725;156820;161671;152468;147229;158804;153276;150703;153091;160016;170328;161644;170004;169606;171305;164842;165060;167065;163055;167269;140534;148495;134932;140556;107971;99460;97290;97129;91786;84634;76324;76005;75071
Germany;Renewable sources;16223;16016;18145;18686;18156;15099;18794;19623;19699;21921;22839;22382;21172;21119;20203;21166;22643;22441;20759;19093;16979;19735;20520;23433;25932;26551;23062;24902;28717;35475;37895;44477;46670;57957;63402;72511;89368;94283;95938;105180;124038;143044;152339;162526;188786;189672;216323;224767;244197
Germany;Total;327249;345881;374352;390563;383770;421423;426053;447974;467573;466340;467737;468109;476810;503233;520560;521813;530467;547109;557397;547650;535826;533672;522487;525205;532814;550691;548011;552375;552545;572313;581886;581954;604680;612355;616335;633354;634437;635195;590819;626720;607283;622220;632917;621949;642388;644861;647718;636990;612099
Greece;Fossil fuels;8910;10444;12594;12673;14105;15964;17063;18062;18536;19248;19986;19711;21643;21942;24935;24889;27305;30795;32309;33004;32642;34877;35716;37669;37632;37910;39261;42233;44445;49118;50041;50260;51872;52756;52921;52475;58092;57143;52890;46716;50916;50560;42680;38066;36860;39316;41387.791;36811.763;31578.621
Greece;Nuclear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
