Country;Product;Flow;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Korea;Total;Total energy supply (ktoe);16972;18471;21564;23427;24461;27182;31533;34576;39924;41257;40520;43082;46654;50794;53132;60884;65747;74016;78839;92911;99866;110871;124371;132067;144754;157281;171231;156338;172887;188158;191059;198702;202752;208327;210289;213737;222243;227115;229272;250029;260504;263481;263835;268433;272679;282412;282253;282257;279921
Latvia;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;7890;7421;6123;5277;4775;4597;4522;4432;4329;3978;3832;4112;4074;4325;4439;4529;4690;4796;4587;4404;4508;4257;4417;4340;4341;4263;4257;4400;4632;4469
Lithuania;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;16065;17046;11021;9104;8121;8714;9401;8916;9361;7973;7141;8289;8879;9270;9405;8865;8730;9460;9527;8767;7051;7307;7378;6968;6980;7047;7208;7543;7605;7666
Luxembourg;Total;Total energy supply (ktoe);4062;4163;4433;4624;3771;3849;3714;4017;3795;3560;3114;2945;2770;2969;3061;3007;2945;3047;3281;3389;3620;3632;3683;3555;3149;3194;3108;3001;3128;3352;3526;3661;3863;4297;4386;4335;4214;4215;3962;4227;4179;4100;3973;3828;3730;3693;3763;3901;3957
Mexico;Total;Total energy supply (ktoe);42976;47540;52560;55939;59149;63294;68446;76538;83971;95121;101565;106294;100080;104568;108623;105676;111142;112500;117521;123689;129859;130942;133143;136140;131788;134693;141737;145691;149896;150823;155282;156924;168158;171220;180593;183563;182783;183841;179905;178539;186934;191726;191919;188181;184889;184926;180101;180611;184076
Netherlands;Total;Total energy supply (ktoe);50876;58400;62006;60978;59030;65339;63197;65014;68356;64373;60835;54183;56556;59836;60648;62922;64355;63788;64213;66518;69105;68552;70028;70260;73156;76873;74757;75308;74083;74776;76753;77589;80469;81176;79918;79128;78835;78200;77129;82726;76987;77060;75429;71092;72077;73592;74244;72934;71185
New Zealand;Total;Total energy supply (ktoe);6828;7600;7883;8716;8547;9110;9533;9463;8813;8985;8906;9510;9844;10492;11198;11246;11308;11857;12692;12853;13174;13474;14197;14700;14910;15436;16125;15899;16542;17113;17131;17170;16946;17395;16971;16978;17160;17417;17506;18367;18273;19204;19343;20403;20652;20539;20684;20487;20590
Norway;Total;Total energy supply (ktoe);13325;13778;14289;14269;14632;15952;16415;17697;18192;18351;18099;17538;18279;19342;19995;20936;21137;20277;21067;21066;21756;22116;23541;23050;23502;22791;24119;25192;26384;26164;26875;24965;27084;26492;26827;27189;27606;32132;31330;32505;28117;30562;32580;28702;29229;28163;29691;28326;23879
Poland;Total;Total energy supply (ktoe);86079;88950;92886;97212;103014;108539;112799;121977;125670;126623;116505;123639;122552;118528;124701;129760;133178;132315;124012;103118;101013;98565;100983;96173;99506;103518;102056;95152;92656;88828;89429;88411;90752;91018;92142;96832;96431;97739;93978;100512;100981;97582;97656;94033;94919;99290;103891;105803;103578
Portugal;Total;Total energy supply (ktoe);6276;6432;6896;7217;7687;8162;7994;8763;9643;9986;9915;11093;11132;11155;10964;12124;12449;13021;15766;16781;16965;18050;17800;18261;20192;19995;21062;22759;24424;24595;24781;25816;25110;25823;26459;25153;25330;24680;24351;23500;22847;21442;21496;21170;21970;21808;22774;22013;21656
Slovak Republic;Total;Total energy supply (ktoe);14259;14822;15518;16246;16776;17393;18301;19215;19595;19839;19426;18981;19185;20161;20726;20671;21282;21560;21546;21328;19127;18095;17760;17433;17776;18078;18099;17555;17654;17744;18594;18733;18640;18354;18830;18641;17847;18321;16736;17830;17351;16660;16950;15949;16393;16496;17400;17353;16466
Slovenia;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;5710;5556;5160;5408;5626;6068;6324;6574;6448;6430;6413;6735;6830;6912;7132;7293;7324;7331;7755;7140;7325;7327;7036;6854;6651;6560;6793;6993;6939;6777
Spain;Total;Total energy supply (ktoe);42606;44833;51572;55894;57489;61719;60652;64786;65783;67693;68724;66870;68001;69508;70906;72375;74148;80080;88100;90094;93450;95189;91299;96340;100782;99298;105541;110867;116235;121360;124548;128275;132702;138484;141425;141292;143334;138571;127404;127269;125332;125088;116689;114098;118369;119368;125597;125017;121720
